,onet_code,last_location_in_india,year,mean_salary,n_individuals
102,11-3031.01,Haryana,2010,131534.140625,1
103,25-1054.00,Telangana,1991,38524.3671875,1
104,29-2012.00,empty,1995,61792.30078125,1
105,43-6011.00,Tamil Nadu,1996,26642.3125,1
106,11-3031.03,Andhra Pradesh,2010,131847.796875,1
107,19-4099.01,Karnataka,1982,99904.0546875,1
108,15-1299.05,Delhi,1984,136562.84375,1
109,11-3021.00,Delhi,2011,68660.724609375,2
110,11-3131.00,Haryana,2006,38033.88671875,1
111,13-2054.00,Tamil Nadu,2015,98089.9453125,1
112,17-2051.00,Maharashtra,1982,137703.078125,1
113,11-2021.00,Kerala,1995,54254.859375,1
114,13-2052.00,empty,2017,76485.509765625,4
115,25-1123.00,Jharkhand,1983,39617.140625,2
116,19-3093.00,Jharkhand,2002,100863.7421875,1
117,25-3031.00,Tamil Nadu,2015,76078.3203125,2
118,13-2099.01,Telangana,1988,105004.359375,1
119,19-2042.00,empty,1986,103148.21875,1
120,11-1011.00,Bihar,1996,17610.28125,1
121,13-1082.00,Uttar Pradesh,2012,86463.21875,1
122,29-1141.01,Kerala,2002,75113.0625,1
123,15-1299.09,Assam,2023,120613.9453125,1
124,23-1012.00,Delhi,2021,75076.21875,1
125,51-8021.00,empty,2008,68715.2265625,1
126,13-1161.01,Karnataka,1977,38670.15234375,1
127,19-3041.00,Delhi,2012,85824.5078125,1
128,15-2041.00,Gujarat,1983,114836.0078125,1
129,23-1011.00,Punjab,1993,106078.8359375,1
130,11-9081.00,Maharashtra,1996,77284.1796875,1
131,13-1131.00,empty,2014,87390.3359375,1
132,43-5071.00,empty,2016,43753.734375,1
133,43-9081.00,Maharashtra,2000,50473.9765625,1
134,15-2051.00,Tamil Nadu,2013,89389.2265625,2
135,15-1241.00,Goa,1998,88962.796875,1
136,17-3031.00,Tamil Nadu,2003,59857.08984375,1
137,15-1253.00,Gujarat,2005,153773.734375,1
138,43-4061.00,Punjab,2012,49236.46875,1
139,29-1051.00,Gujarat,2000,108481.8046875,1
140,15-1212.00,Maharashtra,2021,196852.453125,1
141,41-9022.00,Odisha,2018,127976.375,1
142,15-2051.00,Odisha,2019,102756.9375,1
143,17-2112.03,Delhi,1999,63725.0859375,1
144,15-1299.04,Karnataka,2021,142800.828125,1
145,43-5061.00,empty,2021,79775.203125,1
146,11-1011.00,Rajasthan,2007,259156.546875,1
147,27-2012.05,Delhi,1973,15046.5556640625,1
148,11-1021.00,Haryana,1998,150651.140625,1
149,17-2051.00,Gujarat,1984,95632.109375,2
150,39-9041.00,Tamil Nadu,1998,183774.984375,1
151,25-9042.00,Gujarat,2013,109896.984375,1
152,11-9199.01,Delhi,2012,125167.90625,1
153,11-3121.00,Gujarat,2005,100659.3515625,1
154,11-9199.09,empty,1991,133298.234375,1
155,47-4099.03,Tamil Nadu,1999,81424.953125,1
156,11-2021.00,Telangana,1979,29926.1484375,1
157,43-5011.01,Tamil Nadu,1998,47240.13671875,1
158,11-1011.03,empty,2002,92102.3671875,1
159,43-6012.00,Uttar Pradesh,1985,20311.8203125,1
160,15-1241.01,Assam,2019,97198.6484375,1
161,27-1021.00,Rajasthan,1999,68678.4296875,1
162,11-9199.11,West Bengal,1997,87703.9375,1
163,11-3061.00,Maharashtra,2002,63864.7890625,1
164,29-1071.00,Uttarakhand,2017,94663.625,1
165,43-3031.00,Gujarat,1992,61392.0078125,1
166,15-1242.00,West Bengal,2002,69901.9296875,1
167,17-1022.01,Maharashtra,2019,48831.37109375,1
168,11-2022.00,Rajasthan,2001,75546.625,1
169,23-1011.00,Tamil Nadu,1999,69342.8671875,1
170,13-1075.00,Telangana,2019,99563.5234375,1
171,11-2011.00,empty,1990,38821.74609375,1
172,51-8013.00,Tamil Nadu,2001,30159.9375,1
173,15-1299.07,empty,2012,107625.06770833333,3
174,15-2011.00,Maharashtra,2013,113984.1484375,3
175,25-1123.00,Rajasthan,1983,102523.3515625,1
176,19-4031.00,Telangana,2018,62645.341796875,2
177,17-2112.03,Gujarat,1995,73966.3203125,1
178,11-9041.00,Maharashtra,1999,123406.128125,5
179,15-1299.09,Andhra Pradesh,2021,151276.68359375,2
180,25-9042.00,Uttar Pradesh,2007,76267.125,1
181,11-9199.08,Karnataka,2020,50886.359375,1
182,41-9091.00,Chhattisgarh,2019,95121.2109375,1
183,25-1123.00,Madhya Pradesh,2012,139088.51302083334,3
184,17-2199.06,Jharkhand,2003,81970.0390625,1
185,19-3093.00,Telangana,1969,18690.99609375,1
186,11-9199.01,Maharashtra,2007,119256.20572916667,3
187,17-2141.00,Andhra Pradesh,1974,414933.34375,1
188,25-1054.00,Punjab,1989,29763.693359375,1
189,27-3043.05,Karnataka,2003,82901.71875,1
190,27-2011.00,Maharashtra,2019,130208.3046875,1
191,13-1199.06,Karnataka,2016,173894.5,1
192,15-1243.00,Delhi,2003,92163.4921875,1
193,17-1011.00,Andhra Pradesh,2014,133313.52083333334,3
194,17-1011.00,Andhra Pradesh,2016,133313.52083333334,3
195,17-2199.08,Kerala,1986,61984.734375,1
196,15-1252.00,Kerala,2007,149473.25,2
197,17-2112.03,Maharashtra,2004,81404.47734375,5
198,27-2012.04,Delhi,1991,82139.8046875,1
199,13-1111.00,Haryana,2010,115412.048828125,4
200,43-3041.00,empty,2022,42853.04296875,1
201,19-1011.00,Assam,1987,96398.24609375,2
202,15-1241.00,Maharashtra,2004,85084.86111111111,9
203,25-1123.00,Punjab,2011,95352.75520833333,3
204,15-1251.00,Tamil Nadu,2008,105437.9677734375,8
205,15-1241.00,Karnataka,2018,134466.4894935345,29
206,11-1011.00,Andhra Pradesh,2021,190817.81901041666,6
207,13-2011.00,empty,1993,68359.15,5
208,17-2071.00,Gujarat,2004,78351.29427083333,3
209,51-9061.00,Gujarat,2023,55793.7783203125,4
210,51-9061.00,Uttar Pradesh,1974,61583.7265625,1
211,43-3031.00,West Bengal,2007,46124.80859375,1
212,11-2033.00,Karnataka,2010,162399.03645833334,3
213,43-3071.00,Gujarat,2017,27162.375,1
214,25-1123.00,Maharashtra,2000,103362.6953125,24
215,15-1252.00,Tamil Nadu,2023,158277.59544836957,23
216,11-2022.00,Maharashtra,1995,65895.9521484375,4
217,17-2051.00,Andhra Pradesh,2005,246540.171875,1
218,17-1011.00,Tamil Nadu,2008,139890.58333333334,6
219,25-1123.00,Tamil Nadu,1994,84518.9375,7
220,13-1082.00,Karnataka,1996,81469.3625,10
221,13-1081.00,Gujarat,2000,60853.75,1
222,25-2032.00,Karnataka,2008,48319.16852678572,7
223,15-1299.09,Haryana,1998,76260.609375,2
224,17-2199.06,Chandigarh,2020,106081.57421875,4
225,11-3061.00,empty,2015,149694.35807291666,3
226,13-2099.04,Karnataka,1986,45096.6171875,1
227,25-1123.00,Rajasthan,1999,114881.71875,3
228,11-9051.00,Delhi,2007,66232.86067708333,3
229,11-1011.00,empty,1985,329187.684765625,10
230,15-1299.07,Tamil Nadu,2017,93707.0828125,5
231,11-1031.00,Delhi,2006,113716.86328125,2
232,11-2021.00,Karnataka,1998,128282.4375,10
233,13-1082.00,Delhi,1994,122221.46875,2
234,41-1011.00,Karnataka,2020,42989.7421875,1
235,13-1121.00,empty,2015,38161.23046875,2
236,19-3051.00,Maharashtra,2012,92354.79296875,2
237,19-3051.00,Maharashtra,2022,97319.87109375,4
238,15-1242.00,Karnataka,2003,70355.99739583333,3
239,17-2051.00,Delhi,1980,88115.9140625,1
240,15-1252.00,Andhra Pradesh,2018,185060.5390625,2
241,25-9042.00,Karnataka,1993,36238.0859375,5
242,17-2199.09,Maharashtra,1996,89900.07204861111,9
243,19-1011.00,Manipur,1999,97857.28125,1
244,13-1121.00,Delhi,2016,60382.748697916664,3
245,13-2099.01,West Bengal,1983,66748.3671875,1
246,19-3093.00,Chandigarh,2016,198103.015625,1
247,19-2041.00,Tamil Nadu,1981,59317.27734375,1
248,13-2051.00,Maharashtra,1983,73153.353515625,2
249,25-2032.00,Chandigarh,2011,177645.84375,1
250,11-3031.01,Rajasthan,2011,162599.265625,1
251,11-3051.01,Rajasthan,2020,68064.8671875,1
252,25-1123.00,Gujarat,1994,79851.4765625,3
253,11-3121.00,Karnataka,1998,71905.51041666667,3
254,41-1012.00,Maharashtra,2020,56348.28125,1
255,11-9021.00,empty,2019,112555.97916666667,3
256,11-9041.00,Gujarat,2023,169768.125,2
257,41-9031.00,Haryana,1997,104491.796875,1
258,13-1075.00,Gujarat,1983,42132.3125,1
259,13-1051.00,Haryana,1990,107323.3515625,1
260,41-2012.00,Delhi,1999,18652.2724609375,2
261,19-1011.00,Uttar Pradesh,2003,99687.09722222222,9
262,19-1011.00,Uttar Pradesh,2020,172493.0515625,5
263,13-2011.00,empty,2011,90444.74479166667,3
264,29-1123.00,empty,2004,61623.33203125,1
265,15-1211.00,Uttarakhand,2019,125682.7890625,1
266,11-3021.00,Maharashtra,2020,126205.025,5
267,13-1111.00,empty,1988,55368.872395833336,3
268,19-3011.01,Tamil Nadu,1991,89229.984375,1
269,15-1241.00,West Bengal,2012,115949.53125,1
270,17-3013.00,Uttar Pradesh,2001,72407.7578125,1
271,17-2072.00,Karnataka,1997,86594.353515625,4
272,15-1242.00,Karnataka,2012,97737.3484375,5
273,13-2051.00,Maharashtra,2016,108199.22042410714,7
274,11-3031.03,Maharashtra,1993,89152.89676339286,7
275,11-9111.00,Andhra Pradesh,2009,83939.44140625,2
276,11-9111.00,Andhra Pradesh,2016,83939.44140625,2
277,27-2012.05,Delhi,1995,89155.6125,5
278,21-1093.00,Maharashtra,2017,98270.1259765625,4
279,29-1141.01,Maharashtra,1985,60271.43359375,1
280,29-1071.00,Maharashtra,2022,116188.67447916667,3
281,43-1011.00,Maharashtra,2004,139073.78125,1
282,19-1021.00,Madhya Pradesh,2004,91156.046875,1
283,13-1041.00,Gujarat,2017,58850.21484375,1
284,13-1161.01,West Bengal,2022,77519.671875,1
285,43-6011.00,Karnataka,2014,52627.22265625,1
286,43-3061.00,Maharashtra,1985,74440.71875,1
287,45-2092.00,empty,1993,89333.046875,1
288,25-3031.00,Maharashtra,1977,59103.84765625,1
289,17-2041.00,Tamil Nadu,1992,47963.40234375,1
290,25-9042.00,empty,1995,83303.22526041667,3
291,27-2012.05,empty,1999,89682.58984375,5
292,17-2051.00,Uttar Pradesh,1985,28297.380859375,1
293,19-3041.00,Delhi,1992,107454.53125,1
294,11-3131.00,empty,2009,80342.0703125,1
295,11-1031.00,Maharashtra,2015,97415.80729166667,3
296,41-9091.00,Punjab,1999,200432.0,1
297,41-3031.00,Gujarat,2020,68408.49609375,2
298,13-2099.01,Telangana,2001,156417.8671875,2
299,25-1123.00,Meghalaya,2006,99541.70182291667,3
300,13-2051.00,Delhi,2015,119511.6142578125,8
301,13-2011.00,Karnataka,2018,65626.10026041667,3
302,25-3031.00,empty,2012,64785.986328125,2
303,17-2141.00,Tamil Nadu,1977,60025.720703125,2
304,11-3021.00,empty,2010,140144.845703125,4
305,25-2032.00,Haryana,2023,40334.703125,1
306,17-2131.00,Maharashtra,2013,141481.27864583334,3
307,13-1082.00,Punjab,1999,56071.3359375,1
308,13-1111.00,Punjab,2007,110754.375,1
309,11-1031.00,Telangana,2018,104809.2265625,1
310,19-1022.00,Gujarat,2013,85276.796875,1
311,25-9042.00,Telangana,2003,61730.75,1
312,11-9032.00,Maharashtra,2007,63426.953125,4
313,53-2022.00,Telangana,2006,59476.703125,2
314,11-2021.00,Rajasthan,1977,65152.9921875,1
315,13-1111.00,Gujarat,2003,152407.853515625,4
316,25-1123.00,Telangana,2015,129586.4638671875,8
317,27-2022.00,Delhi,2023,62701.959635416664,3
318,23-1011.00,Karnataka,2020,114331.5,3
319,11-1011.00,Bihar,1971,17610.28125,1
320,19-1021.00,Karnataka,1993,39289.09375,1
321,43-6012.00,Telangana,2006,72772.2109375,1
322,25-2032.00,Andhra Pradesh,2015,49367.58984375,2
323,11-9199.09,empty,2009,53573.8046875,1
324,15-1231.00,Telangana,1993,71535.5859375,1
325,11-9032.00,Maharashtra,1997,78090.6890625,5
326,49-9071.00,Gujarat,2022,92450.65625,1
327,25-9042.00,Telangana,1982,132092.0625,1
328,41-9022.00,Tamil Nadu,2001,51311.4755859375,2
329,15-1252.00,Maharashtra,1975,75991.6640625,1
330,17-2112.02,Delhi,2010,108166.6484375,1
331,17-1022.00,Gujarat,2007,62802.16796875,1
332,27-3023.00,Uttar Pradesh,2001,48250.35546875,1
333,15-1252.00,Gujarat,2022,123276.375,2
334,13-1111.00,Telangana,1983,56227.23046875,1
335,17-2112.03,Tamil Nadu,1989,36495.890625,1
336,29-1051.00,Delhi,2007,45622.13671875,1
337,17-2071.00,Uttar Pradesh,1981,84338.4921875,1
338,13-2099.01,Kerala,1991,37105.62109375,1
339,29-2012.00,Maharashtra,1984,34113.85546875,1
340,15-2051.00,Tamil Nadu,2017,90131.35546875,2
341,29-1051.00,Telangana,1994,36140.37109375,1
342,19-3093.00,Meghalaya,2008,123655.7734375,1
343,19-3093.00,Meghalaya,2021,123655.7734375,1
344,11-1021.00,Haryana,2013,150651.140625,1
345,17-2051.00,Gujarat,1981,88817.1171875,2
346,19-2031.00,Tamil Nadu,2014,86598.3984375,1
347,17-2072.01,Uttar Pradesh,2009,72659.962890625,2
348,41-9021.00,Karnataka,2005,198261.0,1
349,17-2199.09,Telangana,2011,96897.25,2
350,17-2199.06,Kerala,2016,138752.890625,1
351,11-9081.00,Delhi,2018,43585.875,1
352,17-2112.00,Maharashtra,2018,167640.171875,1
353,13-1121.00,Tamil Nadu,2002,60219.0859375,1
354,11-9199.01,Chandigarh,2016,106820.6015625,1
355,11-9199.11,West Bengal,1989,96506.96875,1
356,29-1071.00,Uttarakhand,1989,88717.34765625,2
357,41-3031.00,Telangana,1978,57323.85546875,1
358,27-1022.00,Delhi,2015,62445.09375,1
359,13-2099.01,empty,1998,77084.609375,1
360,17-3013.00,Maharashtra,2021,87721.140625,1
361,29-2012.00,Delhi,1999,101917.0,1
362,15-1299.04,empty,2022,96776.7265625,1
363,15-2041.00,Karnataka,1998,63831.734375,1
364,19-1011.00,Chandigarh,2017,76845.4609375,1
365,11-3051.03,Delhi,2005,100138.4921875,1
366,11-9199.01,Karnataka,2013,97849.640625,1
367,11-9111.00,Maharashtra,2013,108724.3125,1
368,19-3032.00,Maharashtra,2005,97289.9609375,1
369,15-1299.06,Andhra Pradesh,2013,99753.921875,1
370,11-2022.00,Gujarat,2012,142835.96354166666,3
371,27-1012.00,Uttar Pradesh,2010,74171.9921875,1
372,11-9041.00,Maharashtra,1993,105995.4640625,5
373,11-9199.02,Maharashtra,2014,213418.0625,1
374,35-2013.00,Delhi,2012,76622.0546875,1
375,11-1011.00,Bihar,1983,17610.28125,1
376,11-2022.00,empty,1985,8437.1640625,1
377,11-3031.01,Karnataka,2003,104983.63671875,4
378,53-2012.00,Nagaland,1992,76572.40625,1
379,27-2012.05,empty,2003,107131.16276041667,3
380,15-1241.00,Gujarat,2005,76562.6953125,1
381,41-3031.00,empty,1993,147719.71875,1
382,11-9199.01,Maharashtra,2015,136168.640625,1
383,27-1021.00,empty,2020,162249.06640625,2
384,11-3131.00,Punjab,2004,84832.296875,1
385,11-9111.00,West Bengal,2009,99637.515625,1
386,15-2041.00,Maharashtra,2021,121479.2265625,1
387,13-1111.00,Karnataka,2011,150203.02492559524,21
388,17-2111.00,Maharashtra,2000,97163.71875,1
389,17-2111.00,Maharashtra,2010,82884.0,2
390,11-3013.00,Haryana,2014,70088.5,1
391,11-3031.00,Haryana,1991,47955.470703125,2
392,13-1111.00,Delhi,2005,107143.65731534091,22
393,11-9032.00,Tamil Nadu,2013,47062.283854166664,3
394,11-3031.01,Gujarat,2015,188780.2890625,3
395,29-1071.00,Punjab,2013,130792.84296875,5
396,11-1011.00,Telangana,2015,205831.6303125,25
397,15-1211.00,Maharashtra,2014,103361.87083333333,15
398,17-2141.00,Maharashtra,2019,115903.64933894231,26
399,27-2012.00,Delhi,2017,103640.15364583333,3
400,11-2022.00,empty,1994,107201.49283854167,6
401,17-2141.00,Haryana,1992,69255.1484375,2
402,51-8099.01,Gujarat,2022,52132.16796875,3
403,41-2022.00,Gujarat,1968,33739.4453125,1
404,41-9022.00,Delhi,2015,107510.03683035714,7
405,15-1241.00,Jharkhand,2003,197732.65625,2
406,17-2141.00,Kerala,2005,64116.833984375,2
407,15-1251.00,Maharashtra,2009,93825.99302455357,21
408,39-4011.00,empty,2000,35948.7578125,1
409,15-1252.00,Telangana,1995,86181.70837823275,29
410,11-2021.00,Telangana,2023,200558.63194444444,27
411,17-2051.00,Andhra Pradesh,1994,246540.171875,1
412,11-3031.03,empty,1994,151926.28515625,4
413,17-2199.07,Karnataka,2022,128465.6484375,1
414,11-9199.02,Haryana,1993,76087.984375,1
415,11-3031.01,Haryana,2022,93770.359375,1
416,17-2141.00,Gujarat,2016,93702.26545516304,23
417,13-1111.00,Maharashtra,2022,125045.3076171875,28
418,19-1011.00,Maharashtra,2002,76596.19211647728,22
419,27-2012.04,Karnataka,1998,90485.01953125,2
420,43-4121.00,Tamil Nadu,1989,21224.05078125,1
421,13-1111.00,Karnataka,2000,98971.73970170454,33
422,51-9061.00,empty,2007,101442.515625,2
423,25-9042.00,Karnataka,2021,30834.599609375,1
424,15-1299.09,Haryana,1999,76260.609375,2
425,13-1011.00,Tamil Nadu,2009,35474.23046875,1
426,17-2031.00,Maharashtra,2003,89984.6640625,6
427,17-2141.00,empty,2013,113098.0701171875,20
428,11-3071.04,Tamil Nadu,2012,77931.2265625,2
429,11-2033.00,Karnataka,2023,217700.6546875,5
430,15-1299.07,Haryana,1998,83352.5859375,1
431,15-1299.07,Delhi,1994,163082.375,1
432,53-5021.00,empty,2000,33769.68359375,1
433,17-2141.00,empty,2023,106602.93569711539,13
434,25-3031.00,Delhi,2018,49959.4072265625,4
435,25-1123.00,empty,2014,116485.00188577586,29
436,17-2141.00,Gujarat,1990,81519.49983723958,12
437,17-2199.06,Telangana,2023,115238.3453125,5
438,15-1231.00,West Bengal,2000,73875.53515625,2
439,17-2051.00,Karnataka,2011,112348.42708333333,3
440,15-1251.00,Maharashtra,2020,112894.8921875,10
441,35-9031.00,empty,2009,30447.23046875,1
442,19-3051.00,Maharashtra,2020,95154.56770833333,3
443,15-1243.00,empty,2006,130789.7421875,1
444,27-1012.00,Karnataka,2015,68960.046875,3
445,53-1041.00,Bihar,2020,105945.1015625,1
446,25-1123.00,Uttar Pradesh,1967,24412.646484375,1
447,13-2011.00,Gujarat,1998,118732.4375,4
448,13-2099.01,Karnataka,1988,93922.3046875,1
449,27-3041.00,Gujarat,2015,92853.5703125,1
450,17-1011.00,Karnataka,2022,116581.11458333333,6
451,15-1299.03,Gujarat,2014,48533.9765625,1
452,13-1199.04,Delhi,2021,104671.01432291667,6
453,11-2011.00,Karnataka,1999,91506.6796875,1
454,17-2112.02,Gujarat,2008,65938.7578125,3
455,17-2199.06,Chandigarh,1994,64703.6328125,1
456,25-1032.00,Uttarakhand,1994,65102.328125,1
457,15-2051.00,empty,1998,56367.09375,1
458,25-2032.00,Uttarakhand,2012,79777.796875,2
459,17-2072.00,Uttar Pradesh,2013,97169.88671875,2
460,17-2199.08,Uttar Pradesh,2016,129010.52734375,2
461,29-1071.00,Gujarat,2005,165449.7265625,2
462,53-5021.00,Delhi,2005,111456.4765625,1
463,27-2012.05,Delhi,1996,86089.701171875,4
464,27-2012.05,Delhi,1999,95123.28645833333,3
465,29-1123.00,Tamil Nadu,2004,75157.14453125,2
466,19-3093.00,Karnataka,1983,48058.4755859375,2
467,41-9031.00,empty,2005,123220.517578125,4
468,41-9031.00,Maharashtra,2003,94279.40625,2
469,17-2072.00,Kerala,1988,23214.439453125,1
470,11-2011.00,Telangana,2015,78638.599609375,2
471,13-2054.00,West Bengal,2015,96477.6171875,1
472,17-2199.09,Maharashtra,1999,103556.12860576923,13
473,19-1011.00,Assam,2009,85669.58203125,2
474,45-2092.00,empty,1992,89333.046875,1
475,21-2021.00,empty,2007,55186.8828125,1
476,27-3043.05,Delhi,2007,98699.515625,1
477,11-3031.03,Telangana,2014,168751.034375,5
478,17-2112.00,Tamil Nadu,2020,259668.1875,1
479,51-9151.00,Gujarat,2020,31280.3125,1
480,19-2011.00,Andhra Pradesh,2021,57055.23828125,1
481,11-9041.00,Rajasthan,1972,8405.603515625,1
482,27-3043.05,empty,1980,37793.05078125,1
483,11-9021.00,Maharashtra,2015,83937.60546875,2
484,13-1161.01,Telangana,2020,254011.28125,1
485,15-1299.06,Rajasthan,2009,69459.59375,1
486,11-3031.03,Gujarat,1991,138890.34375,1
487,11-2011.00,Haryana,1991,201732.875,1
488,41-9021.00,Karnataka,2001,49912.5234375,1
489,11-3031.00,West Bengal,2022,89760.7578125,2
490,13-2052.00,Delhi,1985,76117.4375,1
491,41-9022.00,Karnataka,2007,78618.4921875,1
492,53-4041.00,Gujarat,2021,28661.5419921875,2
493,27-3043.05,Dadra and Nagar Haveli and Daman and Diu,2021,70534.1015625,1
494,29-2012.00,empty,2000,61792.30078125,1
495,11-3031.03,Andhra Pradesh,2005,131847.796875,1
496,17-1011.00,Maharashtra,2022,130279.27864583333,3
497,13-1151.00,empty,1996,22889.283203125,1
498,19-1022.00,Gujarat,2014,85276.796875,1
499,45-2011.00,Delhi,2022,40469.95703125,1
500,13-1161.00,Karnataka,1996,74731.578125,1
501,15-1211.00,Telangana,1992,87676.26302083333,3
502,25-9042.00,Gujarat,2011,77393.66796875,2
503,11-3131.00,Tamil Nadu,1996,75995.796875,2
504,19-3041.00,empty,1989,13788.7021484375,1
505,13-1082.00,Uttar Pradesh,2004,70240.75,2
506,27-3023.00,Karnataka,2019,67928.671875,1
507,11-9081.00,Maharashtra,2002,51394.0390625,1
508,15-1241.01,empty,2017,83260.59375,1
509,15-1243.00,empty,2016,107175.03515625,2
510,15-1299.05,Uttar Pradesh,2004,84785.046875,1
511,43-5011.01,Tamil Nadu,2006,69956.724609375,2
512,41-1011.00,Delhi,2003,27769.1328125,1
513,41-9021.00,Karnataka,2021,144950.4875,5
514,41-9021.00,Karnataka,2022,144950.4875,5
515,53-5021.00,Uttar Pradesh,1983,67126.328125,1
